episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692eefe20ba268eb16564aab,ok,210,210,210.0,0,30,7
692eb652ba0400c7068a0054,ok,173,173,173.0,0,30,7
692eaf79b8797912ff78a8f0,ok,215,215,215.0,0,30,7
692e8e4daec602a46af10308,ok,213,213,213.0,0,30,7
692e712496d2056439f01264,ok,485,485,485.0,0,30,7
692fe7ccb03ac7c2657d54d3,ok,168,168,168.0,0,30,7
692efcdc4cbe80983737ffeb,ok,175,175,175.0,0,30,7
692ea415d3d807884d4dd719,ok,188,188,188.0,0,30,7
692fe3fbd35e50f3aed1e3b4,ok,172,172,172.0,0,30,7
692ea636ffdc0ca6345c4291,ok,234,234,234.0,0,30,7
692eab4ce2322e3b092b5f66,ok,213,213,213.0,0,30,7
692f0f31fbcce321dca75070,ok,219,219,219.0,0,30,7
692eb653ba0400c7068a0055,ok,193,193,193.0,0,30,7
692eba20d3d807884d4dd862,ok,269,269,269.0,0,30,7
692eaa12ad0c9ef057d41d9f,ok,196,196,196.0,0,30,7
692eb27fa0e165ab2e42e57f,ok,119,119,119.0,0,30,7
692e83ad567c97525f4011a5,ok,239,239,239.0,0,30,7
692fe7ceb03ac7c2657d54e8,ok,163,163,163.0,0,30,7
692eb27fa0e165ab2e42e57a,ok,114,114,114.0,0,30,7
6930855e76acbe36f0806bed,ok,201,201,201.0,0,30,7
692eab3b5cd6df8b6023ca8a,ok,237,237,237.0,0,30,7
692eb27fa0e165ab2e42e57c,ok,109,109,109.0,0,30,7
692fe79c34a99e18e2528998,ok,218,218,218.0,0,30,7
692eaaf0dfa4113987776a63,ok,482,482,482.0,0,30,7
692eaa12ad0c9ef057d41d9b,ok,220,220,220.0,0,30,7
692fe15ab108dc6b6c8bd9bf,ok,153,153,153.0,0,30,7
692e92517641010d04354506,ok,220,220,220.0,0,30,7
692eb90468bf0a1f46230625,ok,237,237,237.0,0,30,7
692ec52f526b2c3ac5f5b58b,ok,136,136,136.0,0,30,7
692fe89eb108dc6b6c8bda33,ok,178,178,178.0,0,30,7
692eaf78b8797912ff78a8e7,ok,237,237,237.0,0,30,7
692eaa08e2322e3b092b5f2b,ok,197,197,197.0,0,30,7
692fe8dc6c1e69a4860825d2,ok,215,215,215.0,0,30,7
692eb78a4e7eab2cafd26a8c,ok,222,222,222.0,0,30,7
692f0620245e9187290071dd,ok,190,190,190.0,0,30,7
692e92517641010d04354504,ok,218,218,218.0,0,30,7
692eb64fba0400c7068a0035,ok,187,187,187.0,0,30,7
